
Year,"Country / territory of asylum/residence",Origin,"Population type",Value
2016,Armenia,Ukraine,Asylum-seekers,4
2016,Armenia,Ukraine,"Refugees (incl. refugee-like situations)",113
2016,Armenia,Stateless,"Stateless persons",512
2016,Armenia,Yemen,Asylum-seekers,1
2016,Armenia,Yemen,"Refugees (incl. refugee-like situations)",3
2016,"Antigua and Barbuda","Syrian Arab Rep.","Refugees (incl. refugee-like situations)",4
2016,Australia,Afghanistan,Asylum-seekers,2077
2016,Australia,Afghanistan,"Refugees (incl. refugee-like situations)",9217
2016,Australia,Angola,Asylum-seekers,3
2016,Australia,Angola,"Refugees (incl. refugee-like situations)",1
2016,Australia,Albania,Asylum-seekers,71
2016,Australia,Albania,"Refugees (incl. refugee-like situations)",58
2016,Australia,Andorra,Asylum-seekers,3
2016,Australia,"United Arab Emirates",Asylum-seekers,3
2016,Australia,"United Arab Emirates","Refugees (incl. refugee-like situations)",5
2016,Australia,Argentina,Asylum-seekers,9
2016,Australia,Argentina,"Refugees (incl. refugee-like situations)",1
2016,Australia,Armenia,"Refugees (incl. refugee-like situations)",1
2016,Australia,"American Samoa",Asylum-seekers,3
2016,Australia,Azerbaijan,Asylum-seekers,29
2016,Australia,Azerbaijan,"Refugees (incl. refugee-like situations)",4
2016,Australia,Burundi,Asylum-seekers,22
2016,Australia,Burundi,"Refugees (incl. refugee-like situations)",55
2016,Australia,Benin,"Refugees (incl. refugee-like situations)",1
2016,Australia,"Burkina Faso",Asylum-seekers,1
2016,Australia,Bangladesh,Asylum-seekers,581
2016,Australia,Bangladesh,"Refugees (incl. refugee-like situations)",413
2016,Australia,Bulgaria,Asylum-seekers,3
2016,Australia,Bahrain,Asylum-seekers,10
2016,Australia,Bahrain,"Refugees (incl. refugee-like situations)",93
2016,Australia,Bahamas,Asylum-seekers,3
2016,Australia,"Bosnia and Herzegovina",Asylum-seekers,3
2016,Australia,Belarus,Asylum-seekers,4
2016,Australia,Belarus,"Refugees (incl. refugee-like situations)",6
2016,Australia,Brazil,Asylum-seekers,18
2016,Australia,Brazil,"Refugees (incl. refugee-like situations)",4
2016,Australia,"Brunei Darussalam",Asylum-seekers,4
2016,Australia,Bhutan,Asylum-seekers,8
2016,Australia,Bhutan,"Refugees (incl. refugee-like situations)",4
2016,Australia,Botswana,Asylum-seekers,4
2016,Australia,Botswana,"Refugees (incl. refugee-like situations)",1
2016,Australia,"Central African Rep.","Refugees (incl. refugee-like situations)",1
2016,Australia,Canada,Asylum-seekers,4
2016,Australia,Chile,Asylum-seekers,3
2016,Australia,China,Asylum-seekers,2981
2016,Australia,China,"Refugees (incl. refugee-like situations)",2815
2016,Australia,"Côte d'Ivoire",Asylum-seekers,1
2016,Australia,"Côte d'Ivoire","Refugees (incl. refugee-like situations)",5
2016,Australia,Cameroon,Asylum-seekers,25
2016,Australia,Cameroon,"Refugees (incl. refugee-like situations)",42
2016,Australia,"Dem. Rep. of the Congo",Asylum-seekers,43
2016,Australia,"Dem. Rep. of the Congo","Refugees (incl. refugee-like situations)",40
2016,Australia,Congo,Asylum-seekers,6
2016,Australia,Congo,"Refugees (incl. refugee-like situations)",12
2016,Australia,Colombia,Asylum-seekers,83
2016,Australia,Colombia,"Refugees (incl. refugee-like situations)",125
2016,Australia,Cuba,Asylum-seekers,3
2016,Australia,Cuba,"Refugees (incl. refugee-like situations)",2
2016,Australia,Cyprus,Asylum-seekers,3
2016,Australia,"Czech Rep.",Asylum-seekers,4
2016,Australia,"Czech Rep.","Refugees (incl. refugee-like situations)",1
2016,Australia,Germany,Asylum-seekers,3
2016,Australia,Germany,"Refugees (incl. refugee-like situations)",5
2016,Australia,Djibouti,Asylum-seekers,3
2016,Australia,Djibouti,"Refugees (incl. refugee-like situations)",3
2016,Australia,Dominica,Asylum-seekers,3
2016,Australia,Algeria,Asylum-seekers,11
2016,Australia,Algeria,"Refugees (incl. refugee-like situations)",10
2016,Australia,Ecuador,"Refugees (incl. refugee-like situations)",2
2016,Australia,Egypt,Asylum-seekers,259
2016,Australia,Egypt,"Refugees (incl. refugee-like situations)",1550
2016,Australia,Eritrea,Asylum-seekers,27
2016,Australia,Eritrea,"Refugees (incl. refugee-like situations)",118
2016,Australia,Spain,Asylum-seekers,1
2016,Australia,Estonia,Asylum-seekers,3
2016,Australia,Estonia,"Refugees (incl. refugee-like situations)",1
2016,Australia,Ethiopia,Asylum-seekers,217
2016,Australia,Ethiopia,"Refugees (incl. refugee-like situations)",257
2016,Australia,Fiji,Asylum-seekers,378
2016,Australia,Fiji,"Refugees (incl. refugee-like situations)",414
2016,Australia,France,Asylum-seekers,4
2016,Australia,France,"Refugees (incl. refugee-like situations)",1
2016,Australia,Gabon,Asylum-seekers,4
2016,Australia,"United Kingdom",Asylum-seekers,13
2016,Australia,"United Kingdom","Refugees (incl. refugee-like situations)",5
2016,Australia,Georgia,Asylum-seekers,17
2016,Australia,Georgia,"Refugees (incl. refugee-like situations)",13
2016,Australia,Ghana,Asylum-seekers,79
2016,Australia,Ghana,"Refugees (incl. refugee-like situations)",28
2016,Australia,Guinea,Asylum-seekers,10
2016,Australia,Guinea,"Refugees (incl. refugee-like situations)",11
2016,Australia,Gambia,Asylum-seekers,6
2016,Australia,Gambia,"Refugees (incl. refugee-like situations)",9
2016,Australia,Greece,Asylum-seekers,12
2016,Australia,Greece,"Refugees (incl. refugee-like situations)",6
2016,Australia,Guatemala,Asylum-seekers,3
2016,Australia,Guatemala,"Refugees (incl. refugee-like situations)",1
2016,Australia,"China, Hong Kong SAR",Asylum-seekers,57
2016,Australia,"China, Hong Kong SAR","Refugees (incl. refugee-like situations)",3
2016,Australia,Honduras,Asylum-seekers,1
2016,Australia,Honduras,"Refugees (incl. refugee-like situations)",3
2016,Australia,Croatia,Asylum-seekers,1
2016,Australia,Croatia,"Refugees (incl. refugee-like situations)",3
2016,Australia,Haiti,Asylum-seekers,3
2016,Australia,Hungary,Asylum-seekers,3
2016,Australia,Indonesia,Asylum-seekers,435
2016,Australia,Indonesia,"Refugees (incl. refugee-like situations)",193
2016,Australia,India,Asylum-seekers,1322
2016,Australia,India,"Refugees (incl. refugee-like situations)",389
2016,Australia,Ireland,Asylum-seekers,13
2016,Australia,"Iran (Islamic Rep. of)",Asylum-seekers,2904
2016,Australia,"Iran (Islamic Rep. of)","Refugees (incl. refugee-like situations)",6128
2016,Australia,Iraq,Asylum-seekers,1783
2016,Australia,Iraq,"Refugees (incl. refugee-like situations)",3437
2016,Australia,Israel,Asylum-seekers,19
2016,Australia,Israel,"Refugees (incl. refugee-like situations)",20
2016,Australia,Italy,Asylum-seekers,9
2016,Australia,Italy,"Refugees (incl. refugee-like situations)",5
2016,Australia,Jamaica,Asylum-seekers,3
2016,Australia,Jamaica,"Refugees (incl. refugee-like situations)",3
2016,Australia,Jordan,Asylum-seekers,89
2016,Australia,Jordan,"Refugees (incl. refugee-like situations)",141
2016,Australia,Japan,Asylum-seekers,4
2016,Australia,Japan,"Refugees (incl. refugee-like situations)",10
2016,Australia,Kazakhstan,Asylum-seekers,5
2016,Australia,Kazakhstan,"Refugees (incl. refugee-like situations)",4
2016,Australia,Kenya,Asylum-seekers,66
2016,Australia,Kenya,"Refugees (incl. refugee-like situations)",106
2016,Australia,Kyrgyzstan,Asylum-seekers,15
2016,Australia,Kyrgyzstan,"Refugees (incl. refugee-like situations)",13
2016,Australia,Cambodia,Asylum-seekers,119
2016,Australia,Cambodia,"Refugees (incl. refugee-like situations)",32
2016,Australia,"Rep. of Korea",Asylum-seekers,87
2016,Australia,"Rep. of Korea","Refugees (incl. refugee-like situations)",46
2016,Australia,Kuwait,Asylum-seekers,5
2016,Australia,Kuwait,"Refugees (incl. refugee-like situations)",49
2016,Australia,"Lao People's Dem. Rep.",Asylum-seekers,17
2016,Australia,"Lao People's Dem. Rep.","Refugees (incl. refugee-like situations)",3
2016,Australia,Lebanon,Asylum-seekers,399
2016,Australia,Lebanon,"Refugees (incl. refugee-like situations)",529
2016,Australia,Liberia,Asylum-seekers,24
2016,Australia,Liberia,"Refugees (incl. refugee-like situations)",35
2016,Australia,Libya,Asylum-seekers,285
2016,Australia,Libya,"Refugees (incl. refugee-like situations)",877
2016,Australia,"Sri Lanka",Asylum-seekers,2370
2016,Australia,"Sri Lanka","Refugees (incl. refugee-like situations)",4236
2016,Australia,Latvia,Asylum-seekers,3
2016,Australia,Latvia,"Refugees (incl. refugee-like situations)",1
2016,Australia,Morocco,Asylum-seekers,8
2016,Australia,Morocco,"Refugees (incl. refugee-like situations)",13
2016,Australia,Madagascar,Asylum-seekers,3
2016,Australia,Maldives,Asylum-seekers,17
2016,Australia,Maldives,"Refugees (incl. refugee-like situations)",10
