Year,"Country / territory of asylum/residence",Origin,"RSD procedure type / level","Tota pending start-year","of which UNHCR-assisted","Applied during year",statistics.filter.decisions_recognized,statistics.filter.decisions_other,Rejected,"Otherwise closed","Total decisions","Total pending end-year","of which UNHCR-assisted"
2016,Fiji,Afghanistan,"G / AR",1,1,,,,1,,1,,
2016,France,Afghanistan,"G / RA",,,38,,,,,,,
2016,France,Afghanistan,"G / FI",1994,,6087,741,2529,773,,4043,3699,
2016,France,Afghanistan,"G / RA",,,21,4,4,10,2,20,,
2016,France,Afghanistan,"G / AR",116,,611,48,88,77,7,220,481,
2016,"United Kingdom",Afghanistan,"G / AR",,,969,395,,388,24,807,,
2016,"United Kingdom",Afghanistan,"G / FI",2536,,3094,512,313,1097,619,2541,2793,
2016,"United Kingdom",Afghanistan,"G / RA",,,61,,,,6,6,,
2016,Georgia,Afghanistan,"G / FI",6,6,17,,,6,8,14,9,9
2016,Greece,Afghanistan,"G / RA",,,78,,,,,,,
2016,Greece,Afghanistan,"G / AR",70,,204,3,15,23,1,42,231,
2016,Greece,Afghanistan,"G / FI",517,,4293,111,93,234,282,720,3986,
2016,Guatemala,Afghanistan,"G / FI",1,,,,,,1,1,,
2016,Croatia,Afghanistan,"G / FI",1,1,581,17,,15,420,452,130,130
2016,Croatia,Afghanistan,"G / JR",,,13,,,3,,3,10,10
2016,Hungary,Afghanistan,"G / RA",,,278,,,,,,,
2016,Hungary,Afghanistan,"G / FA",8469,,,28,69,1484,15170,16751,1392,
2016,Hungary,Afghanistan,"G / FI",,,10774,,,,,,,
2016,Indonesia,Afghanistan,"U / FI",3675,3675,1162,1980,,61,108,2149,2688,2688
2016,Indonesia,Afghanistan,"U / AR",107,107,73,84,,9,,93,87,87
2016,India,Afghanistan,"U / FI",2510,2510,4100,1221,,287,998,2506,4104,4104
2016,India,Afghanistan,"U / AR",218,218,398,159,,50,256,465,151,151
2016,Ireland,Afghanistan,"G / SP",16,,6,3,,2,10,15,7,
2016,Ireland,Afghanistan,"G / FI",103,,121,37,,47,86,170,57,
2016,Ireland,Afghanistan,"G / SP",25,,3,14,,7,2,23,5,
2016,Ireland,Afghanistan,"G / RA",,,3,,,,,,,
2016,Ireland,Afghanistan,"G / AR",18,,52,18,,2,3,23,47,
2016,"Iran (Islamic Rep. of)",Afghanistan,"U / FI",33,33,,,,,26,26,7,7
2016,Iraq,Afghanistan,"U / FI",133,133,,,,,,,133,133
2016,Iceland,Afghanistan,"G / FI",21,,23,6,,2,1,9,21,
2016,Italy,Afghanistan,"G / FI",2690,,2851,380,3621,124,,4125,1926,
2016,Jordan,Afghanistan,"U / FI",9,9,,,,,,,9,9
2016,Kazakhstan,Afghanistan,"G / FI",,,224,67,,135,,202,22,22
2016,Kazakhstan,Afghanistan,"G / AR",49,49,22,,,,6,6,65,65
2016,Kenya,Afghanistan,"J / FI",,,6,6,,,,6,,
2016,Kyrgyzstan,Afghanistan,"G / FI",87,87,150,16,,118,31,165,72,72
2016,Kyrgyzstan,Afghanistan,"U / AR",23,23,,,,23,,23,,
2016,Kyrgyzstan,Afghanistan,"U / FI",30,30,,7,,23,,30,,
2016,"Rep. of Korea",Afghanistan,"G / FA",20,,7,1,,12,7,20,8,
2016,Lebanon,Afghanistan,"U / AR",1,1,1,,,1,,1,1,1
2016,Lebanon,Afghanistan,"U / FI",13,,1,5,,1,2,8,6,6
2016,Libya,Afghanistan,"U / FI",1,1,,,,,,,1,1
2016,Liechtenstein,Afghanistan,"G / FI",7,,1,,,,,,7,
2016,"Sri Lanka",Afghanistan,"U / FI",107,107,54,48,,,5,53,108,108
2016,"Sri Lanka",Afghanistan,"U / AR",1,1,3,1,,,,1,3,3
2016,Lithuania,Afghanistan,"G / FI",15,,32,,,3,,3,15,
2016,Luxembourg,Afghanistan,"G / AR",,,9,,,4,1,5,2,
2016,Luxembourg,Afghanistan,"G / FI",221,,56,8,3,5,12,28,230,
2016,Latvia,Afghanistan,"G / FI",33,,35,4,4,24,26,58,10,
2016,"China, Macao SAR",Afghanistan,"G / FI",1,,,,,,1,1,,
2016,Morocco,Afghanistan,"U / FI",1,1,,1,,,,1,,
2016,"Rep. of Moldova",Afghanistan,"G / JR",,,7,,,,,,7,7
2016,"Rep. of Moldova",Afghanistan,"G / FI",9,9,4,2,,9,1,12,1,1
2016,Madagascar,Afghanistan,"U / FI",,,3,,,,,,3,3
2016,Mexico,Afghanistan,"G / FI",6,,,,,,,,6,
2016,"The former Yugoslav Republic of Macedonia",Afghanistan,"G / FA",1,1,167,,4,5,158,167,1,1
2016,Malta,Afghanistan,"G / FI",,,7,1,,,,1,7,
2016,Montenegro,Afghanistan,"G / FA",,,52,,,,31,31,21,12
2016,Mongolia,Afghanistan,"U / FI",2,2,3,4,,,,4,1,1
2016,Mozambique,Afghanistan,"G / FI",1,,,,,,1,1,,
2016,Mauritania,Afghanistan,"U / FI",,,7,,,,,,7,7
2016,Malaysia,Afghanistan,"U / AR",32,32,31,12,,14,,26,37,37
2016,Malaysia,Afghanistan,"U / FI",304,304,359,107,,89,50,246,417,417
2016,Netherlands,Afghanistan,"G / FI",2317,,1210,426,,838,400,1664,1474,
2016,Netherlands,Afghanistan,"G / RA",19,,378,57,,155,11,223,198,
2016,Norway,Afghanistan,"G / RA",30,,23,,,16,20,36,17,
2016,Norway,Afghanistan,"G / FI",5864,,350,552,324,2775,727,4378,1386,
2016,Norway,Afghanistan,"G / AR",185,,3284,23,1,2252,143,2419,1050,
2016,Nauru,Afghanistan,"G / FI",7,,,,,,,,7,
2016,"New Zealand",Afghanistan,"G / FI",6,,7,2,,5,,7,5,
2016,Pakistan,Afghanistan,"U / AR",2865,2865,1498,,,1734,1125,2859,1504,1504
2016,Pakistan,Afghanistan,"U / FI",3493,3493,4371,1210,,1721,1990,4921,2943,2943
2016,Panama,Afghanistan,"G / FI",8,8,,,,,,,8,
2016,Peru,Afghanistan,"G / FI",,,,,,,,,,
2016,Philippines,Afghanistan,"G / FA",1,,8,6,,1,,7,2,2
2016,"Papua New Guinea",Afghanistan,"G / FI",4,,,1,,1,,2,2,
2016,"Papua New Guinea",Afghanistan,"G / AR",1,,,1,,,,1,,
2016,Poland,Afghanistan,"G / FI",9,,19,2,,4,11,17,8,
2016,Poland,Afghanistan,"G / AR",,,6,,,3,2,5,,
2016,Portugal,Afghanistan,"G / FI",1,,18,1,2,,5,8,11,
2016,Paraguay,Afghanistan,"G / FI",1,,,,,,1,1,,
2016,Romania,Afghanistan,"G / RA",,,8,,,,,,,
2016,Romania,Afghanistan,"G / JR",,,,,1,13,,14,,
2016,Romania,Afghanistan,"G / FI",41,41,79,14,,32,44,90,1,1
2016,"Russian Federation",Afghanistan,"G / TA",135,135,577,,151,,,151,135,135
2016,"Russian Federation",Afghanistan,"G / FI",156,156,211,,,,276,276,91,91
2016,"Saudi Arabia",Afghanistan,"U / FI",1,1,,,,,,,1,1
2016,Senegal,Afghanistan,"G / FA",9,9,,9,,,,9,,
2016,"El Salvador",Afghanistan,"G / FI",,,5,,,,5,5,,
2016,"Serbia and Kosovo (S/RES/1244 (1999))",Afghanistan,"G / FI",,,222,,,,213,213,9,9
2016,"Serbia and Kosovo (S/RES/1244 (1999))",Afghanistan,"G / FI",35,35,187,1,5,,155,161,61,61
2016,Slovakia,Afghanistan,"G / RA",,,8,,,,,,,
2016,Slovakia,Afghanistan,"G / FI",,,8,3,5,3,5,16,,
2016,Slovenia,Afghanistan,"G / RA",,,10,,,,,,,
2016,Slovenia,Afghanistan,"G / FI",16,,409,2,12,82,248,344,93,
2016,Sweden,Afghanistan,"G / FI",40111,,2148,1352,2013,4031,4394,11790,30512,
2016,Sweden,Afghanistan,"G / AR",200,,4823,42,95,1525,551,2213,2800,
2016,Sweden,Afghanistan,"G / RA",303,,809,69,28,122,158,377,905,
2016,"Syrian Arab Rep.",Afghanistan,"U / JR",41,41,21,11,,4,,15,47,47
2016,"Syrian Arab Rep.",Afghanistan,"U / FI",130,130,53,39,,13,,52,131,131
2016,"Syrian Arab Rep.",Afghanistan,"U / JR",103,103,1,1,,,1,2,102,102
2016,Thailand,Afghanistan,"U / FI",43,43,33,44,,4,11,59,17,17
2016,Thailand,Afghanistan,"U / AR",4,4,2,4,,,,4,2,2
2016,Tajikistan,Afghanistan,"U / FI",55,55,19,11,,,20,31,43,43
2016,Tajikistan,Afghanistan,"G / FA",286,60,254,77,,75,,152,388,150
2016,Turkey,Afghanistan,"U / AR",203,203,1,36,,7,67,110,94,94
2016,Turkey,Afghanistan,"U / RA",33,33,20,9,,,16,25,28,28
2016,Turkey,Afghanistan,"U / FI",89920,89920,34775,1251,,1,8872,10124,114571,114571
2016,Ukraine,Afghanistan,"G / FI",1383,944,164,7,9,109,81,206,1341,968
2016,Ukraine,Afghanistan,"U / AR",16,16,1,2,,4,,6,11,11
2016,Ukraine,Afghanistan,"G / JR",1380,923,138,,,34,29,63,1455,996
2016,Ukraine,Afghanistan,"U / FI",42,42,82,17,,1,4,22,102,102
2016,"United States of America",Afghanistan,"G / EO",145,,48,27,,10,38,75,169,
2016,"United States of America",Afghanistan,"G / IN",468,,263,91,,1,38,130,615,
2016,"South Africa",Afghanistan,"G / AR",4,,,,,,4,4,,
2016,"South Africa",Afghanistan,"G / FI",1,,1,,,2,,2,,
2016,Argentina,Angola,"G / AR",1,,,,,,,,1,
2016,Argentina,Angola,"G / FI",,,8,,,5,,5,3,1
2016,Australia,Angola,"G / FI",3,,3,,,,,,3,
2016,Austria,Angola,"G / FA",10,,11,2,,2,,4,9,
2016,Burundi,Angola,"G / FI",9,9,,,,,5,5,4,4
2016,Belgium,Angola,"G / JR",5,,26,,,25,1,26,6,
2016,Belgium,Angola,"G / RA",,,17,,,,15,15,,
2016,Belgium,Angola,"G / FI",24,,75,1,1,31,2,35,36,
2016,Brazil,Angola,"G / FI",1164,905,1353,26,4,62,,92,2425,2088
2016,Canada,Angola,"G / FI",6,,51,14,,9,,23,43,
2016,Switzerland,Angola,"G / FI",,,5,,,,,,,
2016,Switzerland,Angola,"G / FI",27,,57,1,20,14,20,55,41,
2016,Chile,Angola,"G / FI",,,2,,,,,,2,1
2016,China,Angola,"U / FI",1,1,1,,,,,,2,2
2016,China,Angola,"U / AR",1,1,,,,,1,1,,
2016,Cameroon,Angola,"U / AR",,,1,,,,,,1,1
2016,Cameroon,Angola,"U / FI",2,2,,,,1,1,2,,
2016,"Dem. Rep. of the Congo",Angola,"G / FI",,,13,,,,,,13,13
2016,Congo,Angola,"G / FA",77,77,,,,,,,77,77
2016,Cuba,Angola,"U / FA",,,6,,,,,,6,6
2016,Germany,Angola,"G / JR",17,,,,,3,12,15,41,
2016,Germany,Angola,"G / RA",6,,1,,,1,,1,6,
2016,Germany,Angola,"G / NA",164,,168,3,23,41,25,92,249,
2016,Denmark,Angola,"G / FI",,,1,,,,,,,
2016,Algeria,Angola,"U / FI",1,1,,,,,1,1,,
2016,Egypt,Angola,"U / FI",,,1,,,1,,1,,
2016,Spain,Angola,"G / FI",285,,16,,,1,,1,10,
2016,Finland,Angola,"G / FI",4,,10,1,1,2,5,9,5,
2016,Finland,Angola,"G / RA",,,2,1,,,1,2,,
2016,France,Angola,"G / RA",,,36,,,,,,,
2016,France,Angola,"G / AR",170,,299,41,18,273,6,338,128,
2016,France,Angola,"G / FI",333,,674,53,24,357,,434,448,
2016,France,Angola,"G / RA",,,21,2,,5,14,21,,
2016,Gabon,Angola,"G / FA",1,1,7,,,,,,8,8
2016,"United Kingdom",Angola,"G / AR",,,21,3,,13,,16,,
2016,"United Kingdom",Angola,"G / RA",,,3,,,,3,3,,
2016,"United Kingdom",Angola,"G / FI",71,,56,3,5,39,5,52,72,
2016,Greece,Angola,"G / FI",,,1,1,,,,1,,
2016,Hungary,Angola,"G / FA",1,,,,,1,1,2,,
2016,Indonesia,Angola,"U / FI",,,6,,,,,,6,6
2016,India,Angola,"U / FI",2,2,4,,,2,,2,4,4
2016,India,Angola,"U / AR",,,2,,,,2,2,,
2016,Ireland,Angola,"G / RA",,,1,,,,,,,
2016,Ireland,Angola,"G / SP",2,,1,,,2,1,3,,
2016,Ireland,Angola,"G / FI",3,,11,,,5,5,10,5,
2016,Ireland,Angola,"G / SP",4,,3,,,1,4,5,2,
2016,Ireland,Angola,"G / AR",4,,4,,,2,,2,6,
2016,Italy,Angola,"G / FI",1,,5,1,3,1,,5,4,
2016,Kenya,Angola,"J / AR",1,1,,,,,,,1,1
2016,Kenya,Angola,"J / FI",,,6,,,,1,1,5,5
2016,"Rep. of Korea",Angola,"G / FA",,,4,,,1,,1,3,
2016,Lithuania,Angola,"G / FI",,,,,,,,,,
2016,Luxembourg,Angola,"G / FI",6,,2,,,,6,6,1,
2016,Luxembourg,Angola,"G / AR",,,1,,,,1,1,,
2016,Morocco,Angola,"U / AR",,,2,,,2,,2,,
2016,Morocco,Angola,"U / FI",2,2,1,,,2,,2,1,1
2016,Mali,Angola,"G / FI",1,1,,,,,1,1,,
2016,Mozambique,Angola,"G / FI",5,,,,,,5,5,,
2016,Malawi,Angola,"G / FI",1,1,,,,,1,1,,
2016,Malaysia,Angola,"U / FI",1,1,1,,,1,1,2,,
2016,Netherlands,Angola,"G / RA",1,,,,,1,,1,,
2016,Netherlands,Angola,"G / FI",15,,17,2,,8,11,21,8,
2016,Norway,Angola,"G / AR",1,,4,,,4,,4,1,
2016,Norway,Angola,"G / FI",,,7,,,,4,4,3,
2016,Panama,Angola,"G / FI",,,3,,,,3,3,,
2016,Poland,Angola,"G / FI",,,1,,,,1,1,,
2016,Portugal,Angola,"G / FI",18,,30,,,5,19,24,24,
2016,Paraguay,Angola,"G / FI",1,,,,,,1,1,,
2016,Romania,Angola,"G / FI",,,2,,,,,,,
2016,"Russian Federation",Angola,"G / TA",,,1,,,,1,1,,
2016,Rwanda,Angola,"G / FI",,,1,,,,,,1,1
2016,Senegal,Angola,"G / FA",12,12,,,,,,,12,12
2016,Sweden,Angola,"G / FI",5,,11,,,1,8,9,6,
2016,Sweden,Angola,"G / AR",1,,13,,,10,,10,4,
2016,Sweden,Angola,"G / RA",10,,9,,5,5,,10,9,
2016,Swaziland,Angola,"G / FI",,,1,1,,,,1,,
2016,Chad,Angola,"G / FA",1,1,,,,,1,1,,
2016,Thailand,Angola,"U / AR",2,2,,,,2,,2,,
2016,Thailand,Angola,"U / FI",,,1,,,,,,1,1
2016,Turkey,Angola,"U / FI",7,7,2,,,,1,1,8,8
2016,Turkey,Angola,"U / AR",1,1,1,1,,,1,2,,
2016,Uganda,Angola,"G / FA",2,2,,,,,,,2,2
2016,Ukraine,Angola,"G / FI",2,,,,,,,,2,
2016,Ukraine,Angola,"G / JR",9,,,,,,,,9,
2016,Uruguay,Angola,"G / FI",1,,7,,,,1,1,7,7
2016,"United States of America",Angola,"G / IN",436,,274,10,,1,23,34,680,
2016,"United States of America",Angola,"G / EO",125,,17,4,,,18,22,147,
2016,"South Africa",Angola,"G / FI",175,18,2,2,,3,,5,172,
2016,"South Africa",Angola,"G / AR",45,5,,,,,45,45,,
2016,"United Kingdom",Anguilla,"G / AR",,,,,,,,,,
2016,"United Kingdom",Anguilla,"G / RA",,,,,,,,,,
2016,"United Kingdom",Anguilla,"G / FI",,,,,,,,,,
2016,Argentina,Albania,"G / FI",,,,,,,,,,
2016,Australia,Albania,"G / AR",7,,11,,,4,,4,14,
2016,Australia,Albania,"G / FI",50,,39,,,15,,15,57,
2016,Austria,Albania,"G / FA",134,,76,2,3,83,16,104,100,
2016,Belgium,Albania,"G / RA",,,168,,,,133,133,,
2016,Belgium,Albania,"G / JR",75,,256,18,,241,7,266,84,
2016,Belgium,Albania,"G / FI",307,,649,67,,492,95,654,284,
2016,Brazil,Albania,"G / FI",,,2,,,,,,2,
2016,Canada,Albania,"G / FI",114,,168,77,,79,10,166,211,
2016,Switzerland,Albania,"G / FI",109,,142,,1,96,73,170,84,
2016,Switzerland,Albania,"G / FI",,,15,,,,,,,
2016,Chile,Albania,"G / FI",1,,,,,,,,1,
2016,"Costa Rica",Albania,"G / AR",,,4,,,,,,4,4
2016,"Costa Rica",Albania,"G / FI",,,6,,,6,,6,,
2016,Cyprus,Albania,"G / AR",3,,,,,,,,3,
2016,"Czech Rep.",Albania,"G / FI",,,1,,,1,,1,,
2016,Germany,Albania,"G / JR",7742,,,,126,5350,7027,12503,7037,
2016,Germany,Albania,"G / NA",23929,,14853,18,139,29681,5400,35238,3575,
2016,Germany,Albania,"G / RA",624,,2383,,12,339,2084,2435,646,
2016,Denmark,Albania,"G / AR",1,,2,,,,3,3,,
2016,Denmark,Albania,"G / FI",1,,90,,,,59,59,,
2016,Spain,Albania,"G / FI",10,,26,,,1,,1,25,
2016,Estonia,Albania,"G / FI",,,8,,,,,,8,
2016,Finland,Albania,"G / FI",103,,83,,,141,45,186,6,
2016,Finland,Albania,"G / RA",,,,,,,,,,
2016,France,Albania,"G / AR",899,,1786,58,146,1317,211,1732,824,
2016,France,Albania,"G / RA",,,399,,9,120,310,439,,
2016,France,Albania,"G / RA",,,571,,,,,,,
2016,France,Albania,"G / FI",1613,,6859,75,328,3134,,3537,4208,
2016,"United Kingdom",Albania,"G / AR",,,491,241,,441,31,713,,
2016,"United Kingdom",Albania,"G / FI",2211,,1768,17,219,800,316,1352,2290,
2016,"United Kingdom",Albania,"G / RA",,,34,,,1,1,2,,
2016,Greece,Albania,"G / FI",349,,1295,,3,969,103,1075,679,
2016,Greece,Albania,"G / AR",259,,831,,,236,40,276,791,
2016,Greece,Albania,"G / RA",,,125,,,,,,,
2016,Croatia,Albania,"G / FI",,,3,,,1,2,3,,
2016,Hungary,Albania,"G / FI",,,13,,,,,,,
2016,Hungary,Albania,"G / RA",,,2,,,,,,,
2016,Hungary,Albania,"G / FA",31,,,,,5,27,32,1,
2016,Ireland,Albania,"G / RA",,,20,,,,,,,
2016,Ireland,Albania,"G / AR",79,,145,2,,27,10,39,185,
2016,Ireland,Albania,"G / FI",153,,222,5,,164,73,242,153,
2016,Ireland,Albania,"G / SP",28,,20,2,,23,1,26,22,
2016,Ireland,Albania,"G / SP",19,,35,,,21,11,32,22,
2016,Iraq,Albania,"U / FI",1,1,,,,,,,1,1
2016,Iceland,Albania,"G / FI",37,,231,,,190,28,218,37,
2016,Italy,Albania,"G / FI",267,,363,36,66,123,,225,395,
2016,Liechtenstein,Albania,"G / FI",3,,5,,,2,,2,5,
2016,Luxembourg,Albania,"G / JR",8,,4,,,12,,12,,
2016,Luxembourg,Albania,"G / RA",,,13,,,,8,8,,
2016,Luxembourg,Albania,"G / FI",83,,213,2,,107,7,116,109,
2016,Luxembourg,Albania,"G / AR",24,,107,,,66,11,77,50,
2016,Luxembourg,Albania,"G / RA",,,12,,,,11,11,1,
2016,Mexico,Albania,"G / FI",3,,9,4,,2,,6,6,4
2016,Malta,Albania,"G / FI",,,3,,,,,,2,
2016,Montenegro,Albania,"G / FA",,,3,,,3,,3,,
2016,Netherlands,Albania,"G / FI",624,,1683,1,,621,1493,2115,74,
2016,Netherlands,Albania,"G / RA",3,,34,,,9,12,21,5,
2016,Norway,Albania,"G / AR",15,,97,,,92,,92,11,
2016,Norway,Albania,"G / FI",13,,127,,,103,30,133,5,
2016,Norway,Albania,"G / RA",,,3,,,3,,3,,
2016,Panama,Albania,"G / FI",,,1,,,,1,1,,
2016,Portugal,Albania,"G / FI",2,,,,,,,,2,
2016,Romania,Albania,"G / FI",2,1,15,,,1,9,10,,
2016,Romania,Albania,"G / RA",,,1,,,,,,,
2016,"Russian Federation",Albania,"G / FI",1,1,,,,,1,1,,
2016,"Serbia and Kosovo (S/RES/1244 (1999))",Albania,"G / FI",,,1,,,,1,1,,
2016,Slovenia,Albania,"G / FI",1,,6,,,1,6,7,,
2016,Sweden,Albania,"G / AR",309,,784,4,17,799,78,898,204,
2016,Sweden,Albania,"G / RA",25,,56,,3,42,17,62,18,
2016,Sweden,Albania,"G / FI",702,,730,12,23,867,318,1220,210,
2016,"United States of America",Albania,"G / IN",313,,208,9,,,57,66,459,
2016,"United States of America",Albania,"G / EO",916,,165,102,,33,136,271,877,
2016,"Venezuela (Bolivarian Republic of)",Albania,"G / FI",1,1,,,,,1,1,,
2016,"South Africa",Albania,"G / AR",1,,,,,,1,1,,
2016,Australia,Andorra,"G / FI",3,,,,,,,,3,
2016,Austria,Andorra,"G / FA",1,,,,,,,,,
2016,Belgium,Andorra,"G / FI",,,,,,,,,,
2016,Germany,Andorra,"G / NA",,,1,,,,,,1,
2016,"United Kingdom",Andorra,"G / FI",,,,,,,,,,
2016,"United Kingdom",Andorra,"G / AR",,,,,,,,,,
2016,"United Kingdom",Andorra,"G / RA",,,,,,,,,,
2016,Australia,"United Arab Emirates","G / FI",3,,3,,,,,,3,
2016,Austria,"United Arab Emirates","G / FA",,,1,1,,,,1,,
2016,Belgium,"United Arab Emirates","G / RA",,,,,,,2,2,,
2016,Belgium,"United Arab Emirates","G / FI",3,,,,,,,,,
2016,Brazil,"United Arab Emirates","G / FI",1,,,,1,,,1,,
2016,Canada,"United Arab Emirates","G / FI",,,3,2,,2,,4,4,
2016,Switzerland,"United Arab Emirates","G / FI",,,1,,,,,,1,
2016,Germany,"United Arab Emirates","G / NA",6,,9,2,1,,,3,10,
2016,Germany,"United Arab Emirates","G / JR",,,,,,,,,1,
2016,Egypt,"United Arab Emirates","U / FI",1,1,,,,,1,1,,
2016,Spain,"United Arab Emirates","G / FI",,,1,,,1,,1,,
2016,Finland,"United Arab Emirates","G / FI",,,3,,,,3,3,,
2016,Finland,"United Arab Emirates","G / RA",,,,,,,,,,
2016,France,"United Arab Emirates","G / FI",1,,1,,,,,,,
2016,"United Kingdom","United Arab Emirates","G / RA",,,,,,,,,,
2016,"United Kingdom","United Arab Emirates","G / AR",,,,5,,1,,6,,
2016,"United Kingdom","United Arab Emirates","G / FI",17,,6,,,,1,1,5,
2016,Hungary,"United Arab Emirates","G / FA",4,,,,,,4,4,,
2016,Hungary,"United Arab Emirates","G / RA",,,3,,,,,,,
2016,Indonesia,"United Arab Emirates","U / FI",,,1,1,,,,1,,
2016,Jordan,"United Arab Emirates","U / FI",2,2,,,,,,,2,2
2016,Malaysia,"United Arab Emirates","U / FI",1,1,,,,,,,1,1
2016,Netherlands,"United Arab Emirates","G / RA",2,,,,,,,,,
2016,Netherlands,"United Arab Emirates","G / FI",,,,,,,,,1,
2016,Pakistan,"United Arab Emirates","U / FI",1,1,,,,,,,1,1
2016,Sweden,"United Arab Emirates","G / FI",2,,1,,1,,1,2,1,
2016,Turkey,"United Arab Emirates","U / FI",9,9,16,,,,5,5,20,20
2016,"United States of America","United Arab Emirates","G / EO",,,,,,,,,24,
2016,"United States of America","United Arab Emirates","G / IN",34,,62,,,1,2,3,91,
2016,Australia,Argentina,"G / FI",6,,6,,,,,,9,
2016,Austria,Argentina,"G / FA",,,2,,,1,,1,1,
2016,Belgium,Argentina,"G / FI",1,,,,,1,,1,,
2016,Belgium,Argentina,"G / JR",,,1,,,,,,1,
2016,Brazil,Argentina,"G / FI",7,1,3,,,2,,2,8,
2016,Canada,Argentina,"G / FI",6,,8,,,5,1,6,7,
2016,Chile,Argentina,"G / FI",1,,2,,,,,,3,1
2016,"Costa Rica",Argentina,"G / AR",,,1,,,,1,1,,
2016,"Costa Rica",Argentina,"G / FI",2,2,,,,1,1,2,,
2016,Germany,Argentina,"G / RA",2,,1,,,,,,3,
2016,Germany,Argentina,"G / NA",4,,,1,,1,,2,2,
2016,Spain,Argentina,"G / FI",5,,10,,,1,,1,10,
2016,France,Argentina,"G / AR",1,,,,,1,,1,,
2016,France,Argentina,"G / FI",,,1,,,1,,1,,
2016,"United Kingdom",Argentina,"G / AR",,,,,,,,,,
2016,"United Kingdom",Argentina,"G / FI",,,5,,,3,,3,5,
2016,"United Kingdom",Argentina,"G / RA",,,,,,,,,,
